gene_id,dataset_id,source_method,target_method,source_log_fold_change,source_p_value,source_adjusted_p_value,source_threshold_significance_fraction,target_method_significant,source_significance_stability,source_direction_stability,source_rank_stability
ENSG00000000003,airway,DESeq2,edgeR,-0.378846670897661,0.0286637455553421,0.139308501868732,0.0,0,0.0,1.0,0.9934315911803504
ENSG00000000419,airway,DESeq2,edgeR,0.203760478374441,0.042818216413318,0.183358652544128,0.0,0,0.0,1.0,0.9912977416923172
ENSG00000000457,airway,DESeq2,edgeR,0.0340429427185742,0.787479411707355,0.930568922905056,0.0,0,0.0,0.875,0.900847650606194
ENSG00000000460,airway,DESeq2,edgeR,-0.117178108083544,0.697283265433474,0.895442640322763,0.0,0,0.0,0.875,0.8858400339217287
ENSG00000000971,airway,DESeq2,edgeR,0.440959787146635,0.088559138141664,0.299303797483693,0.0,0,0.0,1.0,0.9882746246623532
ENSG00000001036,airway,DESeq2,edgeR,-0.241942193454036,0.0431700206117735,0.184285768654482,0.0,0,0.0,1.0,0.9920927822099378
ENSG00000001084,airway,DESeq2,edgeR,-0.0296236452329745,0.898228190923375,0.970644399871835,0.0,0,0.0,0.875,0.8617081003831899
ENSG00000001167,airway,DESeq2,edgeR,-0.489622091547574,0.0202538195849342,0.108290344357308,0.0,0,0.0,1.0,0.9949667064514104
ENSG00000001460,airway,DESeq2,edgeR,-0.133405967263323,0.419002951609155,0.71870510896688,0.0,0,0.0,1.0,0.9815295401721214
ENSG00000001461,airway,DESeq2,edgeR,-0.0427439212354997,0.883326540435932,0.964217913393985,0.0,0,0.0,0.75,0.7721237200829197
ENSG00000001497,airway,DESeq2,edgeR,-0.0024813252154929,0.979793278898091,0.994870801281329,0.0,0,0.0,1.0,0.9844486148627426
ENSG00000001561,airway,DESeq2,edgeR,0.269578090821224,0.755184176992415,0.919041846198765,0.0,0,0.0,0.625,0.647871647088385
ENSG00000001617,airway,DESeq2,edgeR,-0.247559479131451,0.148197958436794,0.410654399515106,0.0,0,0.0,1.0,0.9872440165839564
ENSG00000001629,airway,DESeq2,edgeR,-0.226244552456831,0.0857331691790159,0.292895395072061,0.0,0,0.0,1.0,0.9907461209874991
ENSG00000001630,airway,DESeq2,edgeR,0.0122596984860272,0.967446052402826,0.99139749029039,0.0,0,0.0,0.75,0.7787333532257051
ENSG00000001631,airway,DESeq2,edgeR,-0.0363763187834967,0.736076518492802,0.912242070964839,0.0,0,0.0,1.0,0.9844015013505872
ENSG00000002016,airway,DESeq2,edgeR,-0.30849299253691,0.0550030143543611,0.218612280106031,0.0,0,0.0,1.0,0.9919337741064136
ENSG00000002330,airway,DESeq2,edgeR,0.0899899440214856,0.534636647307432,0.800229347625111,0.0,0,0.0,0.375,0.6340811294679314
ENSG00000002549,airway,DESeq2,edgeR,0.18011402544769,0.281937736675725,0.590334929711396,0.0,0,0.0,0.875,0.9019312613857654
ENSG00000002586,airway,DESeq2,edgeR,0.0881426858611307,0.471386385777061,0.75745426073549,0.0,0,0.0,0.375,0.6237632703059237
ENSG00000002746,airway,DESeq2,edgeR,0.112535622950347,0.703780063397042,0.898568218232057,0.0,0,0.0,0.375,0.5694021295307494
ENSG00000002822,airway,DESeq2,edgeR,-0.15759969684269,0.238332542804352,0.540897583101585,0.0,0,0.0,1.0,0.9881921760160814
ENSG00000002834,airway,DESeq2,edgeR,0.398577161593404,9.88326980083496e-05,0.0015332267883849,1.0,1,0.0,1.0,0.9971928199007476
ENSG00000002919,airway,DESeq2,edgeR,0.39139033182068,0.007696452511483,0.0522203892723088,0.3333333333333333,0,0.0,1.0,0.9957519316539984
ENSG00000002933,airway,DESeq2,edgeR,0.402453765543577,0.777103251060002,0.92660506001877,0.0,0,0.0,0.5,0.5294322036560085
ENSG00000003056,airway,DESeq2,edgeR,-0.0713703637208546,0.435863082035047,0.732015499604226,0.0,0,0.0,1.0,0.9890441453608896
ENSG00000003096,airway,DESeq2,edgeR,-0.920203827667623,8.58517626371137e-07,2.42854643624164e-05,1.0,1,0.0,1.0,0.9993855612789748
ENSG00000003137,airway,DESeq2,edgeR,-1.139679974818,0.0361037912134284,0.163648942711585,0.0,0,0.0,1.0,0.9944680884477668
ENSG00000003249,airway,DESeq2,edgeR,-0.322623504552439,0.317793328150854,0.628585462290723,0.0,0,0.0,1.0,0.969709937810164
ENSG00000003393,airway,DESeq2,edgeR,0.173166589353988,0.271018640220099,0.577895680624076,0.0,0,0.0,0.875,0.8945305138513726
ENSG00000003400,airway,DESeq2,edgeR,-0.388760810348367,0.294047755752695,0.603187366519188,0.0,0,0.0,1.0,0.980789465418682
ENSG00000003402,airway,DESeq2,edgeR,1.18342575180993,4.63964921423567e-13,5.5630890739722596e-11,1.0,1,0.0,1.0,0.9994876405553113
ENSG00000003436,airway,DESeq2,edgeR,-0.209214121439086,0.2749663047434,0.582032889938052,0.0,0,0.0,1.0,0.9787380645769208
ENSG00000003509,airway,DESeq2,edgeR,-0.05275495204765,0.670323076483368,0.881040484770448,0.0,0,0.0,1.0,0.9838263238896916
ENSG00000003756,airway,DESeq2,edgeR,-0.186011645235668,0.0403772518011102,0.175795452561165,0.0,0,0.0,1.0,0.9938536497267416
ENSG00000003987,airway,DESeq2,edgeR,0.988022610374934,0.002478433546652,0.0219759959277326,0.6666666666666666,1,0.0,1.0,0.9979407469062128
ENSG00000003989,airway,DESeq2,edgeR,0.674482802220146,0.314520379713021,0.625180671218434,0.0,0,0.0,1.0,0.9731315566304416
ENSG00000004059,airway,DESeq2,edgeR,0.369205613340607,0.0003907046720435,0.0049228788677485,1.0,1,0.0,1.0,0.9954771028330924
ENSG00000004139,airway,DESeq2,edgeR,-0.163709419258503,0.366033536906929,0.674539740546878,0.0,0,0.0,1.0,0.9896350273258372
ENSG00000004142,airway,DESeq2,edgeR,0.147075858368208,0.238301703764087,0.540893644901754,0.0,0,0.0,0.875,0.8859165933789811
ENSG00000004399,airway,DESeq2,edgeR,-0.0129065749866222,0.956875290355172,0.988286497475153,0.0,0,0.0,0.875,0.8449298008668886
ENSG00000004455,airway,DESeq2,edgeR,0.0516575900766133,0.758079199510942,0.920206465076318,0.0,0,0.0,0.875,0.8724146460204787
ENSG00000004478,airway,DESeq2,edgeR,-0.0699129214785767,0.567642301084107,0.820386541695385,0.0,0,0.0,1.0,0.9818671870092344
ENSG00000004487,airway,DESeq2,edgeR,-0.298900431889469,0.0003118333187654,0.0040554856733674,1.0,1,0.0,1.0,0.9966981280231172
ENSG00000004534,airway,DESeq2,edgeR,-0.191968374853444,0.162861788536154,0.433450714584624,0.0,0,0.0,1.0,0.9876366291852504
ENSG00000004660,airway,DESeq2,edgeR,-0.664913613369706,0.0630562281493274,0.239381772582699,0.0,0,0.0,1.0,0.9900374552421636
ENSG00000004700,airway,DESeq2,edgeR,0.366665539721643,0.0016651066733144,0.0159680121380542,0.6666666666666666,1,0.0,1.0,0.9958147496702054
ENSG00000004766,airway,DESeq2,edgeR,-0.0304529997504193,0.757649748868096,0.920193315550401,0.0,0,0.0,1.0,0.9880135372824926
ENSG00000004776,airway,DESeq2,edgeR,-0.0767405545363121,0.796190658004012,0.935052346224617,0.0,0,0.0,0.75,0.7724515516050003
ENSG00000004777,airway,DESeq2,edgeR,-0.384456487299531,0.183538008972187,0.463773473385193,0.0,0,0.0,1.0,0.9876778535083862
ENSG00000004779,airway,DESeq2,edgeR,0.096111708618444,0.481090010729468,0.765567073328809,0.0,0,0.0,0.625,0.7572613700609335
ENSG00000004799,airway,DESeq2,edgeR,2.54403922516001,0.0047578676854895,0.0362100618078716,0.6666666666666666,0,0.0,1.0,0.9997840630692882
ENSG00000004838,airway,DESeq2,edgeR,-0.433711984672217,0.341228573952866,0.653133488036779,0.0,0,0.0,1.0,0.9828447923864564
ENSG00000004846,airway,DESeq2,edgeR,-1.88140393588902,0.0071352116239347,0.0493884201232129,0.6666666666666666,0,0.0,1.0,0.9954064325648596
ENSG00000004864,airway,DESeq2,edgeR,0.0068693272196557,0.976841356391532,0.994121812855314,0.0,0,0.0,0.875,0.8575974464476412
ENSG00000004866,airway,DESeq2,edgeR,-0.582197859691317,0.0010847074453806,0.0113829971046862,0.6666666666666666,1,0.0,1.0,0.9970573685533012
ENSG00000004897,airway,DESeq2,edgeR,0.0542889248194306,0.472526900252603,0.757785766818345,0.0,0,0.0,1.0,0.9654697217161882
ENSG00000004961,airway,DESeq2,edgeR,-0.154239753125859,0.296734031726432,0.606850349937126,0.0,0,0.0,1.0,0.986448976066336
ENSG00000004975,airway,DESeq2,edgeR,-0.314440736961839,0.076025019305749,0.270413062671435,0.0,0,0.0,1.0,0.9904830705446322
ENSG00000005007,airway,DESeq2,edgeR,0.241512767406687,0.0040691289288918,0.0320851765564089,0.6666666666666666,0,0.0,1.0,0.9939380614360198
ENSG00000005020,airway,DESeq2,edgeR,0.216518377861948,0.292761986648588,0.601859315563555,0.0,0,0.0,1.0,0.9659055217036244
ENSG00000005022,airway,DESeq2,edgeR,-0.0368287810694347,0.757563916562063,0.920157204712499,0.0,0,0.0,1.0,0.9730726647402476
ENSG00000005059,airway,DESeq2,edgeR,0.105492278195776,0.627310783691322,0.854736045216845,0.0,0,0.0,0.5,0.6516839154469503
ENSG00000005075,airway,DESeq2,edgeR,0.0608043507915335,0.615036620891221,0.848489592362598,0.0,0,0.0,0.75,0.8084855361517683
ENSG00000005100,airway,DESeq2,edgeR,0.371204957063654,0.005023316469703,0.0377323379672024,0.6666666666666666,0,0.0,1.0,0.9956007758025002
ENSG00000005108,airway,DESeq2,edgeR,0.56329563225989,0.258899694071989,0.563755221362381,0.0,0,0.0,1.0,0.9873087976631698
ENSG00000005156,airway,DESeq2,edgeR,-0.339763962380977,0.226799839951081,0.525427816611185,0.0,0,0.0,1.0,0.988879248068346
ENSG00000005175,airway,DESeq2,edgeR,-0.23025033610627,0.394839162286688,0.699037478259708,0.0,0,0.0,1.0,0.9696471197939568
ENSG00000005189,airway,DESeq2,edgeR,-0.330031267976493,0.233858445928752,0.535121794827118,0.0,0,0.0,1.0,0.9853202148376154
ENSG00000005194,airway,DESeq2,edgeR,0.16168232437031,0.172781038608981,0.449235534771671,0.0,0,0.0,1.0,0.98237562032791
ENSG00000005206,airway,DESeq2,edgeR,0.069702975238173,0.477165627383151,0.762259170097633,0.0,0,0.0,0.75,0.8317203498963504
ENSG00000005238,airway,DESeq2,edgeR,-0.184744939341354,0.129662335299167,0.379074170447542,0.0,0,0.0,1.0,0.9890696651799736
ENSG00000005243,airway,DESeq2,edgeR,-0.096740635550596,0.545737780391806,0.807398236632838,0.0,0,0.0,1.0,0.975194735850242
ENSG00000005249,airway,DESeq2,edgeR,0.647094702107305,0.0027254621025082,0.0236584367936084,0.6666666666666666,0,0.0,1.0,0.9969533262139582
ENSG00000005302,airway,DESeq2,edgeR,0.155342686319922,0.267640369752727,0.573448959171597,0.0,0,0.0,0.875,0.894373468810855
ENSG00000005339,airway,DESeq2,edgeR,-0.0917516168516754,0.446925963104081,0.74075796167746,0.0,0,0.0,1.0,0.986415603995226
ENSG00000005379,airway,DESeq2,edgeR,0.248407655362482,0.31199407646761,0.622547767999841,0.0,0,0.0,0.875,0.8914877661913436
ENSG00000005436,airway,DESeq2,edgeR,0.149464696013576,0.290390423656562,0.599190188037883,0.0,0,0.0,1.0,0.9657013631509516
ENSG00000005448,airway,DESeq2,edgeR,0.310212234023184,0.0538481648704726,0.21537993094004,0.0,0,0.0,1.0,0.9899883786670016
ENSG00000005469,airway,DESeq2,edgeR,-0.250587868109788,0.368481477069729,0.67683880363143,0.0,0,0.0,1.0,0.971718151265783
ENSG00000005471,airway,DESeq2,edgeR,-1.21874903031713,0.0050181082669057,0.0377271610600496,0.6666666666666666,0,0.0,1.0,0.9967707613543564
ENSG00000005483,airway,DESeq2,edgeR,0.0847298474902334,0.450209814838125,0.742126622079958,0.0,0,0.0,0.625,0.7480899396947045
ENSG00000005486,airway,DESeq2,edgeR,-0.105426861318673,0.524710510636777,0.794523660554504,0.0,0,0.0,1.0,0.9780235096425656
ENSG00000005700,airway,DESeq2,edgeR,-0.0516918617380293,0.702377086218139,0.897962313225845,0.0,0,0.0,1.0,0.977350179031346
ENSG00000005801,airway,DESeq2,edgeR,-0.309332771173353,0.0595641860777699,0.230433055423679,0.0,0,0.0,1.0,0.9916393146554432
ENSG00000005810,airway,DESeq2,edgeR,-0.0211368320128608,0.828932289416341,0.946850964996204,0.0,0,0.0,1.0,0.9811506690118726
ENSG00000005812,airway,DESeq2,edgeR,0.473648740038865,0.0045349104268892,0.034875811520073,0.6666666666666666,0,0.0,1.0,0.9956066649915196
ENSG00000005882,airway,DESeq2,edgeR,-0.0611935722964046,0.642085531560942,0.863764284072871,0.0,0,0.0,1.0,0.9796489258119228
ENSG00000005884,airway,DESeq2,edgeR,0.384714307147906,0.200949007688598,0.48954616007613,0.0,0,0.0,1.0,0.977324659212262
ENSG00000005889,airway,DESeq2,edgeR,0.0872742669190499,0.680416240821637,0.886224391034419,0.0,0,0.0,0.625,0.70828883723852
ENSG00000005893,airway,DESeq2,edgeR,0.0684186168974567,0.425566501855355,0.72383651053969,0.0,0,0.0,0.875,0.8961166687606006
ENSG00000005955,airway,DESeq2,edgeR,0.105302127063147,0.314698883649887,0.625318774989827,0.0,0,0.0,0.875,0.8918038193353854
ENSG00000006007,airway,DESeq2,edgeR,0.167494645018497,0.201765721833445,0.490684774318514,0.0,0,0.0,1.0,0.9772088384948804
ENSG00000006015,airway,DESeq2,edgeR,-0.0559486165095785,0.850717043530238,0.95392675124202,0.0,0,0.0,0.75,0.7631466329543313
ENSG00000006016,airway,DESeq2,edgeR,0.21053026743398,0.643239695888408,0.864338713629273,0.0,0,0.0,0.75,0.7754570010679063
ENSG00000006025,airway,DESeq2,edgeR,-0.929614935563452,0.000208920126377,0.0029019286612241,1.0,1,0.0,1.0,0.9987711225579496
ENSG00000006042,airway,DESeq2,edgeR,-0.0287382534919544,0.769228328787559,0.923805654442952,0.0,0,0.0,1.0,0.9856755292417866
ENSG00000006062,airway,DESeq2,edgeR,-0.634343583072727,0.0143826199708782,0.0839833615294046,0.3333333333333333,0,0.0,1.0,0.9971064451284628
ENSG00000006114,airway,DESeq2,edgeR,-0.51465822080348,4.68725163124272e-07,1.42340803213474e-05,1.0,1,0.0,1.0,0.9980781613166656
ENSG00000006118,airway,DESeq2,edgeR,-0.496164696699665,0.0105081943741244,0.0667943154077268,0.3333333333333333,0,0.0,1.0,0.995308279414536
ENSG00000006125,airway,DESeq2,edgeR,0.0446410122120766,0.675956021168574,0.88383410598867,0.0,0,0.0,0.75,0.8283124725171179
ENSG00000006194,airway,DESeq2,edgeR,0.105447703414895,0.375132698139725,0.683017585254199,0.0,0,0.0,0.625,0.7561149412651549
ENSG00000006282,airway,DESeq2,edgeR,-0.112821055160102,0.488233193805666,0.770469041935833,0.0,0,0.0,1.0,0.9757777655631636
ENSG00000006283,airway,DESeq2,edgeR,-1.37094661105359,0.0115452037387855,0.0716419403957689,0.3333333333333333,0,0.0,1.0,0.9981488315848984
ENSG00000006327,airway,DESeq2,edgeR,-0.128104624475152,0.676060567701638,0.88383410598867,0.0,0,0.0,1.0,0.9803654438092844
ENSG00000006451,airway,DESeq2,edgeR,-0.580354127151237,0.0024763236387981,0.021967768413873,0.6666666666666666,0,0.0,1.0,0.9961995100194736
ENSG00000006453,airway,DESeq2,edgeR,-0.204488878932699,0.244902821309305,0.548309713773454,0.0,0,0.0,1.0,0.9869711508260568
ENSG00000006459,airway,DESeq2,edgeR,0.0136005980630637,0.954674308457499,0.987937402937332,0.0,0,0.0,0.75,0.7890747691437905
ENSG00000006468,airway,DESeq2,edgeR,-0.262033050619151,0.441273199139559,0.73579885140873,0.0,0,0.0,1.0,0.9686263270305924
ENSG00000006530,airway,DESeq2,edgeR,0.004517596493377,0.971374767701594,0.992686685237773,0.0,0,0.0,1.0,0.9681708964130912
ENSG00000006534,airway,DESeq2,edgeR,0.428770166604907,0.135428219736791,0.38937708289113,0.0,0,0.0,1.0,0.987067340913374
ENSG00000006576,airway,DESeq2,edgeR,-0.440395448488095,0.0305383494015032,0.145644618371699,0.0,0,0.0,1.0,0.9931489101074188
ENSG00000006607,airway,DESeq2,edgeR,0.598070860062028,0.0005848866148631,0.0068365520359944,1.0,1,0.0,1.0,0.997487279351718
ENSG00000006625,airway,DESeq2,edgeR,-0.140801311570845,0.509402516338786,0.786381407604979,0.0,0,0.0,1.0,0.9751319178340347
ENSG00000006634,airway,DESeq2,edgeR,-0.354659846236522,0.0384972731894047,0.170431591763956,0.0,0,0.0,1.0,0.9963408505559396
ENSG00000006638,airway,DESeq2,edgeR,-0.650976514388205,0.0115076558564955,0.0714805428118213,0.3333333333333333,0,0.0,1.0,0.9954123217538792
ENSG00000006652,airway,DESeq2,edgeR,-0.0522614554693207,0.796165010257569,0.935052346224617,0.0,0,0.0,1.0,0.936347682015202
ENSG00000006695,airway,DESeq2,edgeR,0.23614655071147,0.191062201900874,0.475035588271269,0.0,0,0.0,1.0,0.9754145989069664
ENSG00000006704,airway,DESeq2,edgeR,-0.197667192648992,0.29561045273788,0.605390662714434,0.0,0,0.0,1.0,0.9869377787549468
