gene_id,baseline_significant,frac_significant,direction_stability,rank_stability,is_stable
ENSG00000000003,False,0.0,1.0,0.9934315911803505,True
ENSG00000000005,False,0.0,,0.992707220930963,True
ENSG00000000419,False,0.0,1.0,0.9912977416923173,True
ENSG00000000457,False,0.0,0.875,0.9008476506061939,True
ENSG00000000460,False,0.0,0.875,0.8858400339217287,True
ENSG00000000938,False,0.0,1.0,0.9824256784345751,True
ENSG00000000971,False,0.0,1.0,0.9882746246623532,True
ENSG00000001036,False,0.0,1.0,0.9920927822099378,True
ENSG00000001084,False,0.0,0.875,0.8617081003831899,True
ENSG00000001167,False,0.0,1.0,0.9949667064514103,True
ENSG00000001460,False,0.0,1.0,0.9815295401721214,True
ENSG00000001461,False,0.0,0.75,0.7721237200829197,True
ENSG00000001497,False,0.0,1.0,0.9844486148627426,True
ENSG00000001561,False,0.0,0.625,0.647871647088385,True
ENSG00000001617,False,0.0,1.0,0.9872440165839563,True
ENSG00000001626,False,0.0,1.0,0.9922439380614361,True
ENSG00000001629,False,0.0,1.0,0.9907461209874993,True
ENSG00000001630,False,0.0,0.75,0.7787333532257051,True
ENSG00000001631,False,0.0,1.0,0.9844015013505873,True
ENSG00000002016,False,0.0,1.0,0.9919337741064137,True
ENSG00000002079,False,0.0,1.0,0.9839166247879892,True
ENSG00000002330,False,0.0,0.375,0.6340811294679314,True
ENSG00000002549,False,0.0,0.875,0.9019312613857654,True
ENSG00000002586,False,0.0,0.375,0.6237632703059237,True
ENSG00000002587,False,0.0,0.875,0.9087440715497205,True
ENSG00000002726,False,0.0,0.875,0.9551420472391482,True
ENSG00000002745,False,0.0,0.75,0.7763227118537597,True
ENSG00000002746,False,0.0,0.375,0.5694021295307494,True
ENSG00000002822,False,0.0,1.0,0.9881921760160814,True
ENSG00000002834,False,0.0,1.0,0.9971928199007476,True
ENSG00000002919,False,0.0,1.0,0.9957519316539983,True
ENSG00000002933,False,0.0,0.5,0.5294322036560085,True
ENSG00000003056,False,0.0,1.0,0.9890441453608895,True
ENSG00000003096,False,0.0,1.0,0.9993855612789748,True
ENSG00000003137,False,0.0,1.0,0.9944680884477668,True
ENSG00000003147,False,0.0,0.625,0.7709645313775991,True
ENSG00000003249,False,0.0,1.0,0.9697099378101639,True
ENSG00000003393,False,0.0,0.875,0.8945305138513726,True
ENSG00000003400,False,0.0,1.0,0.9807894654186821,True
ENSG00000003402,False,0.0,1.0,0.9994876405553113,True
ENSG00000003436,False,0.0,1.0,0.9787380645769207,True
ENSG00000003509,False,0.0,1.0,0.9838263238896916,True
ENSG00000003756,False,0.0,1.0,0.9938536497267416,True
ENSG00000003987,False,0.0,1.0,0.9979407469062127,True
ENSG00000003989,False,0.0,1.0,0.9731315566304416,True
ENSG00000004059,False,0.0,1.0,0.9954771028330925,True
ENSG00000004139,False,0.0,1.0,0.9896350273258371,True
ENSG00000004142,False,0.0,0.875,0.8859165933789811,True
ENSG00000004399,False,0.0,0.875,0.8449298008668886,True
ENSG00000004455,False,0.0,0.875,0.8724146460204787,True
ENSG00000004468,False,0.0,1.0,0.9887918917645581,True
ENSG00000004478,False,0.0,1.0,0.9818671870092343,True
ENSG00000004487,False,0.0,1.0,0.9966981280231171,True
ENSG00000004534,False,0.0,1.0,0.9876366291852503,True
ENSG00000004660,False,0.0,1.0,0.9900374552421635,True
ENSG00000004700,False,0.0,1.0,0.9958147496702054,True
ENSG00000004766,False,0.0,1.0,0.9880135372824926,True
ENSG00000004776,False,0.0,0.75,0.7724515516050003,True
ENSG00000004777,False,0.0,1.0,0.9876778535083862,True
ENSG00000004779,False,0.0,0.625,0.7572613700609335,True
ENSG00000004799,False,0.0,1.0,0.9997840630692882,True
ENSG00000004809,False,0.0,,0.992707220930963,True
ENSG00000004838,False,0.0,1.0,0.9828447923864564,True
ENSG00000004846,False,0.0,1.0,0.9954064325648596,True
ENSG00000004848,False,0.0,,0.992707220930963,True
ENSG00000004864,False,0.0,0.875,0.8575974464476412,True
ENSG00000004866,False,0.0,1.0,0.9970573685533011,True
ENSG00000004897,False,0.0,1.0,0.9654697217161882,True
ENSG00000004939,False,0.0,,0.992707220930963,True
ENSG00000004948,False,0.0,,0.992707220930963,True
ENSG00000004961,False,0.0,1.0,0.9864489760663359,True
ENSG00000004975,False,0.0,1.0,0.9904830705446322,True
ENSG00000005001,False,0.0,,0.992707220930963,True
ENSG00000005007,False,0.0,1.0,0.9939380614360198,True
ENSG00000005020,False,0.0,1.0,0.9659055217036245,True
ENSG00000005022,False,0.0,1.0,0.9730726647402475,True
ENSG00000005059,False,0.0,0.5,0.6516839154469503,True
ENSG00000005073,False,0.0,1.0,0.9875217899993718,True
ENSG00000005075,False,0.0,0.75,0.8084855361517683,True
ENSG00000005100,False,0.0,1.0,0.9956007758025002,True
ENSG00000005102,False,0.0,1.0,0.9847695756643006,True
ENSG00000005108,False,0.0,1.0,0.9873087976631698,True
ENSG00000005156,False,0.0,1.0,0.988879248068346,True
ENSG00000005175,False,0.0,1.0,0.9696471197939569,True
ENSG00000005187,False,0.0,0.375,0.603314042967523,True
ENSG00000005189,False,0.0,1.0,0.9853202148376154,True
ENSG00000005194,False,0.0,1.0,0.98237562032791,True
ENSG00000005206,False,0.0,0.75,0.8317203498963504,True
ENSG00000005238,False,0.0,1.0,0.9890696651799736,True
ENSG00000005243,False,0.0,1.0,0.9751947358502419,True
ENSG00000005249,False,0.0,1.0,0.9969533262139582,True
ENSG00000005302,False,0.0,0.875,0.894373468810855,True
ENSG00000005339,False,0.0,1.0,0.9864156039952259,True
ENSG00000005379,False,0.0,0.875,0.8914877661913436,True
ENSG00000005381,False,0.0,0.375,0.6008582511464288,True
ENSG00000005421,False,0.0,0.875,0.9566555688171368,True
ENSG00000005436,False,0.0,1.0,0.9657013631509517,True
ENSG00000005448,False,0.0,1.0,0.9899883786670017,True
ENSG00000005469,False,0.0,1.0,0.971718151265783,True
ENSG00000005471,False,0.0,1.0,0.9967707613543564,True
ENSG00000005483,False,0.0,0.625,0.7480899396947045,True
ENSG00000005486,False,0.0,1.0,0.9780235096425655,True
ENSG00000005513,False,0.0,1.0,0.9838793265908663,True
ENSG00000005700,False,0.0,1.0,0.9773501790313461,True
ENSG00000005801,False,0.0,1.0,0.9916393146554432,True
ENSG00000005810,False,0.0,1.0,0.9811506690118726,True
ENSG00000005812,False,0.0,1.0,0.9956066649915196,True
ENSG00000005844,False,0.0,1.0,0.9930468308310824,True
ENSG00000005882,False,0.0,1.0,0.9796489258119229,True
ENSG00000005884,False,0.0,1.0,0.9773246592122621,True
ENSG00000005889,False,0.0,0.625,0.70828883723852,True
ENSG00000005893,False,0.0,0.875,0.8961166687606006,True
ENSG00000005955,False,0.0,0.875,0.8918038193353854,True
ENSG00000005961,False,0.0,0.875,0.8693993812425403,True
ENSG00000005981,False,0.0,,0.992707220930963,True
ENSG00000006007,False,0.0,1.0,0.9772088384948803,True
ENSG00000006015,False,0.0,0.75,0.7631466329543313,True
ENSG00000006016,False,0.0,0.75,0.7754570010679063,True
ENSG00000006025,False,0.0,1.0,0.9987711225579496,True
ENSG00000006042,False,0.0,1.0,0.9856755292417866,True
ENSG00000006047,False,0.0,1.0,0.9830901752622652,True
ENSG00000006059,False,0.0,,0.992707220930963,True
ENSG00000006062,False,0.0,1.0,0.9971064451284628,True
ENSG00000006071,False,0.0,,0.992707220930963,True
ENSG00000006074,False,0.0,0.875,0.956076465230228,True
ENSG00000006075,False,0.0,,0.992707220930963,True
ENSG00000006114,False,0.0,1.0,0.9980781613166656,True
ENSG00000006116,False,0.0,,0.992707220930963,True
ENSG00000006118,False,0.0,1.0,0.995308279414536,True
ENSG00000006125,False,0.0,0.75,0.8283124725171179,True
ENSG00000006128,False,0.0,0.875,0.915041577674477,True
ENSG00000006194,False,0.0,0.625,0.7561149412651549,True
ENSG00000006210,False,0.0,1.0,0.9866865066901187,True
ENSG00000006282,False,0.0,1.0,0.9757777655631635,True
ENSG00000006283,False,0.0,1.0,0.9981488315848985,True
ENSG00000006327,False,0.0,1.0,0.9803654438092845,True
ENSG00000006377,False,0.0,,0.992707220930963,True
ENSG00000006432,False,0.0,0.875,0.880577062001382,True
ENSG00000006451,False,0.0,1.0,0.9961995100194736,True
ENSG00000006453,False,0.0,1.0,0.9869711508260569,True
ENSG00000006459,False,0.0,0.75,0.7890747691437905,True
ENSG00000006468,False,0.0,1.0,0.9686263270305924,True
ENSG00000006530,False,0.0,1.0,0.9681708964130913,True
ENSG00000006534,False,0.0,1.0,0.987067340913374,True
ENSG00000006555,False,0.0,,0.992707220930963,True
ENSG00000006576,False,0.0,1.0,0.9931489101074188,True
ENSG00000006606,False,0.0,0.875,0.8755457315157987,True
ENSG00000006607,False,0.0,1.0,0.9974872793517181,True
ENSG00000006611,False,0.0,,0.992707220930963,True
ENSG00000006625,False,0.0,1.0,0.9751319178340349,True
ENSG00000006634,False,0.0,1.0,0.9963408505559395,True
ENSG00000006638,False,0.0,1.0,0.9954123217538791,True
ENSG00000006652,False,0.0,1.0,0.9363476820152019,True
ENSG00000006659,False,0.0,,0.992707220930963,True
ENSG00000006695,False,0.0,1.0,0.9754145989069665,True
ENSG00000006704,False,0.0,1.0,0.9869377787549469,True
ENSG00000006712,False,0.0,1.0,0.9910268389974245,True
ENSG00000006715,False,0.0,1.0,0.9804027420064074,True
ENSG00000006740,False,0.0,0.875,0.8451751837426974,True
ENSG00000006744,False,0.0,1.0,0.9769987907531881,True
ENSG00000006747,False,0.0,0.75,0.839988771279603,True
ENSG00000006756,False,0.0,0.875,0.8807125133488285,True
ENSG00000006757,False,0.0,0.75,0.8217852880206044,True
ENSG00000006788,False,0.0,1.0,0.9972203027828381,True
ENSG00000006831,False,0.0,1.0,0.9960620956090207,True
ENSG00000006837,False,0.0,1.0,0.9930939443432376,True
ENSG00000007001,False,0.0,1.0,0.9861967224700044,True
ENSG00000007038,False,0.0,0.375,0.6208343803002702,True
ENSG00000007047,False,0.0,0.75,0.8403597901878258,True
ENSG00000007062,False,0.0,1.0,0.9738824282304165,True
ENSG00000007080,False,0.0,1.0,0.9818181104340725,True
ENSG00000007129,False,0.0,,0.992707220930963,True
ENSG00000007168,False,0.0,1.0,0.9819241158364219,True
ENSG00000007171,False,0.0,0.875,0.8926018044475156,True
ENSG00000007174,False,0.0,1.0,0.9818357780011308,True
ENSG00000007202,False,0.0,1.0,0.9838282869526981,True
ENSG00000007216,False,0.0,,0.992707220930963,True
ENSG00000007237,False,0.0,1.0,0.9981763144669892,True
ENSG00000007255,False,0.0,1.0,0.9822912086186318,True
ENSG00000007264,False,0.0,0.875,0.9601704331302218,True
ENSG00000007306,False,0.0,,0.992707220930963,True
ENSG00000007312,False,0.0,0.875,0.903645015390414,True
ENSG00000007314,False,0.0,1.0,0.9625653699981155,True
ENSG00000007341,False,0.0,0.625,0.7075369841070419,True
ENSG00000007350,False,0.0,,0.992707220930963,True
ENSG00000007372,False,0.0,1.0,0.9715414755952007,True
ENSG00000007376,False,0.0,0.625,0.7135046956467115,True
ENSG00000007384,False,0.0,0.625,0.7244801809158867,True
ENSG00000007392,False,0.0,1.0,0.9935317073936805,True
ENSG00000007402,False,0.0,1.0,0.9680295558766254,True
ENSG00000007516,False,0.0,1.0,0.9842503454990892,True
ENSG00000007520,False,0.0,0.5,0.6757255480871915,True
ENSG00000007541,False,0.0,1.0,0.9645765280482442,True
ENSG00000007545,False,0.0,0.75,0.8300674508449023,True
ENSG00000007866,False,0.0,1.0,0.9972006721527734,True
ENSG00000007908,False,0.0,,0.992707220930963,True
ENSG00000007923,False,0.0,0.875,0.8778228846033043,True
ENSG00000007933,False,0.0,0.5,0.5652875494691878,True
ENSG00000007944,False,0.0,1.0,0.9969238802688611,True
ENSG00000007952,False,0.0,1.0,0.9921556002261449,True
ENSG00000007968,False,0.0,1.0,0.9910229128714115,True
ENSG00000008018,False,0.0,0.75,0.8197437024938752,True
ENSG00000008056,False,0.0,1.0,0.9941127740435958,True
ENSG00000008083,False,0.0,1.0,0.996042464978956,True
ENSG00000008086,False,0.0,1.0,0.9804439663295433,True
ENSG00000008118,False,0.0,1.0,0.9519579590426535,True
ENSG00000008128,False,0.0,1.0,0.9520247031848734,True
ENSG00000008130,False,0.0,1.0,0.9990380991268296,True
ENSG00000008196,False,0.0,0.75,0.849999411081098,True
ENSG00000008197,False,0.0,,0.992707220930963,True
ENSG00000008226,False,0.0,0.625,0.7280509925246561,True
ENSG00000008256,False,0.0,1.0,0.9995269018154407,True
ENSG00000008277,False,0.0,1.0,0.9832747031848734,True
ENSG00000008282,False,0.0,1.0,0.9915313461900873,True
ENSG00000008283,False,0.0,1.0,0.9602460110559708,True
ENSG00000008294,False,0.0,1.0,0.9812664897292543,True
ENSG00000008300,False,0.0,1.0,0.9764373547333376,True
ENSG00000008311,False,0.0,1.0,0.9993796720899554,True
ENSG00000008323,False,0.0,1.0,0.9782924492744519,True
ENSG00000008324,False,0.0,1.0,0.9947762893397827,True
ENSG00000008382,False,0.0,0.625,0.7371419373076198,True
ENSG00000008394,False,0.0,0.5,0.6042622023996482,True
ENSG00000008405,False,0.0,0.375,0.6052358816508574,True
ENSG00000008438,False,0.0,1.0,0.9925992524656071,True
ENSG00000008441,False,0.0,1.0,0.9929957911929141,True
ENSG00000008513,False,0.0,1.0,0.9962623280356806,True
ENSG00000008516,False,0.0,1.0,0.9788597744833218,True
ENSG00000008517,False,0.0,1.0,0.9943601199824109,True
ENSG00000008710,False,0.0,1.0,0.9949097776242226,True
ENSG00000008735,False,0.0,1.0,0.9878074156668133,True
ENSG00000008838,False,0.0,1.0,0.980797317670708,True
ENSG00000008853,False,0.0,1.0,0.9974067937684528,True
ENSG00000008869,False,0.0,1.0,0.9503600257553867,True
ENSG00000008952,False,0.0,1.0,0.9856009328475407,True
ENSG00000008988,False,0.0,1.0,0.9673856712105031,True
ENSG00000009307,False,0.0,1.0,0.9762116024875934,True
ENSG00000009335,False,0.0,1.0,0.99317050380049,True
ENSG00000009413,False,0.0,1.0,0.9994346378541366,True
ENSG00000009694,False,0.0,0.875,0.8779642251397701,True
ENSG00000009709,False,0.0,,0.992707220930963,True
ENSG00000009724,False,0.0,1.0,0.9890578868019348,True
ENSG00000009765,False,0.0,1.0,0.9966411991959294,True
ENSG00000009780,False,0.0,1.0,0.9964429298322759,True
ENSG00000009790,False,0.0,1.0,0.9840599283874615,True
ENSG00000009830,False,0.0,0.625,0.7590497204598279,True
ENSG00000009844,False,0.0,1.0,0.986871034612727,True
ENSG00000009950,False,0.0,1.0,0.9910130975563791,True
ENSG00000009954,False,0.0,1.0,0.9877151517055092,True
ENSG00000010017,False,0.0,1.0,0.9987416766128526,True
ENSG00000010030,False,0.0,1.0,0.9916923173566179,True
ENSG00000010072,False,0.0,1.0,0.9885847886173754,True
ENSG00000010165,False,0.0,1.0,0.9796253690558452,True
ENSG00000010219,False,0.0,1.0,0.9935101137006094,True
ENSG00000010244,False,0.0,0.5,0.6770172435454489,True
ENSG00000010256,False,0.0,1.0,0.9967511307242918,True
ENSG00000010270,False,0.0,0.625,0.7267494817513662,True
ENSG00000010278,False,0.0,1.0,0.9965293046045606,True
ENSG00000010282,False,0.0,,0.992707220930963,True
ENSG00000010292,False,0.0,0.75,0.8317164237703373,True
ENSG00000010295,False,0.0,0.875,0.8693149695332621,True
ENSG00000010310,False,0.0,1.0,0.9943974181795339,True
ENSG00000010318,False,0.0,0.875,0.8685984515359004,True
ENSG00000010319,False,0.0,0.5,0.72071600760098,True
ENSG00000010322,False,0.0,1.0,0.993696604686224,True
ENSG00000010327,False,0.0,1.0,0.9645097839060243,True
ENSG00000010361,False,0.0,0.75,0.8032657516175639,True
ENSG00000010379,False,0.0,0.625,0.758758205603367,True
ENSG00000010404,False,0.0,1.0,0.966470883849488,True
ENSG00000010438,False,0.0,0.5,0.6167629876248508,True
ENSG00000010539,False,0.0,1.0,0.9886672372636472,True
ENSG00000010610,False,0.0,0.75,0.7569551322319241,True
ENSG00000010626,False,0.0,1.0,0.9913527074564985,True
ENSG00000010671,False,0.0,0.5,0.7422733840065331,True
ENSG00000010704,False,0.0,1.0,0.9810250329794585,True
ENSG00000010803,False,0.0,1.0,0.9886338651925373,True
ENSG00000010810,False,0.0,0.625,0.7014043752748288,True
ENSG00000010818,False,0.0,1.0,0.9953946541868208,True
ENSG00000010932,False,0.0,0.75,0.8074215560022615,True
ENSG00000011007,False,0.0,1.0,0.9857461995100194,True
ENSG00000011009,False,0.0,1.0,0.9904909227966581,True
ENSG00000011021,False,0.0,0.5,0.6636841196055029,True
ENSG00000011028,False,0.0,1.0,0.9919494786104655,True
ENSG00000011052,False,0.0,,0.992707220930963,True
ENSG00000011083,False,0.0,0.375,0.6709562865129719,True
ENSG00000011105,False,0.0,1.0,0.984792150888875,True
ENSG00000011114,False,0.0,0.75,0.820185391670331,True
ENSG00000011132,False,0.0,0.875,0.887840395125322,True
