gene_id,dataset_id,source_method,target_method,source_log_fold_change,source_p_value,source_adjusted_p_value,source_threshold_significance_fraction,target_method_significant,source_significance_stability,source_direction_stability,source_rank_stability
ENSMUSG00000063897.3,bottomly,DESeq2,edgeR,-1.21294248728065,5.32270987040529e-07,1.40628466197716e-05,1.0,1,0.0,1.0,0.9995755357357669
ENSMUSG00000051412.6,bottomly,DESeq2,edgeR,-0.209868194893877,0.287405620583239,0.585307032321128,0.0,0,0.0,1.0,0.986720455053187
ENSMUSG00000061654.3,bottomly,DESeq2,edgeR,-0.0695683560383854,0.575303312765209,0.810638052364575,0.0,0,0.0,1.0,0.9656630750459692
ENSMUSG00000079834.2,bottomly,DESeq2,edgeR,-0.201486493284546,0.152979129240869,0.419630285743092,0.0,0,0.0,1.0,0.9900439930573456
ENSMUSG00000079773.2,bottomly,DESeq2,edgeR,-0.206939330518614,0.384995050195866,0.676409091437761,0.0,0,0.0,1.0,0.9710943273014728
ENSMUSG00000096271.1,bottomly,DESeq2,edgeR,-5.13987706192065,2.68072002888854e-104,5.4913656218438697e-101,1.0,1,1.0,1.0,0.9999914076059871
ENSMUSG00000095552.1,bottomly,DESeq2,edgeR,-2.57006284208357,1.23322427355398e-19,1.3066649052928701e-17,1.0,1,0.9523809523809524,1.0,0.9998530700623808
ENSMUSG00000096237.1,bottomly,DESeq2,edgeR,-4.01696769369328,2.01082822239097e-40,6.24108270600074e-38,1.0,1,1.0,1.0,0.9999768005361652
ENSMUSG00000095742.1,bottomly,DESeq2,edgeR,-0.133360437290793,0.701987312631655,0.878756789506758,0.0,0,0.0,0.6666666666666666,0.7681643209431013
ENSMUSG00000095041.7,bottomly,DESeq2,edgeR,1.53736710387122,3.85303571341892e-43,1.4438076630027198e-40,1.0,1,1.0,1.0,0.9999621934663436
ENSMUSG00000103147.1,bottomly,DESeq2,edgeR,-0.144484254834657,0.631937278101666,0.842681175861107,0.0,0,0.0,1.0,0.9672612603323538
ENSMUSG00000102331.1,bottomly,DESeq2,edgeR,-0.487882099434042,0.0347250846072446,0.167241014847462,0.0,0,0.0,1.0,0.992467907408362
ENSMUSG00000051951.5,bottomly,DESeq2,edgeR,0.142407098015825,0.266835266926731,0.565061836447805,0.0,0,0.0,1.0,0.982396762385936
ENSMUSG00000025902.13,bottomly,DESeq2,edgeR,0.296058701078793,0.0465358533094503,0.20305412732739,0.0,0,0.0,1.0,0.994606554278153
ENSMUSG00000102269.1,bottomly,DESeq2,edgeR,0.134176979390897,0.551958425609036,0.796233897791437,0.0,0,0.0,1.0,0.9831717963258924
ENSMUSG00000098104.1,bottomly,DESeq2,edgeR,-0.0147518902351169,0.910424854645283,0.968009252810035,0.0,0,0.0,0.6190476190476191,0.806910862504511
ENSMUSG00000102175.1,bottomly,DESeq2,edgeR,0.888263204053437,0.0488075909019704,0.208815211033813,0.0,0,0.0,1.0,0.990057740887766
ENSMUSG00000103922.1,bottomly,DESeq2,edgeR,0.0778594520443785,0.471774002938969,0.742024968688867,0.0,0,0.0,1.0,0.9786685226237736
ENSMUSG00000033845.13,bottomly,DESeq2,edgeR,-0.243442562956983,0.0269083611285482,0.140046193923873,0.0,0,0.0,1.0,0.9946022580811466
ENSMUSG00000025903.14,bottomly,DESeq2,edgeR,-0.140537663179327,0.358286577904619,0.654101422348418,0.0,0,0.0,1.0,0.9775051124744376
ENSMUSG00000062588.4,bottomly,DESeq2,edgeR,-0.320709395098009,0.0165502349640976,0.0992852537567018,0.3333333333333333,0,0.0,1.0,0.9958352666219862
ENSMUSG00000104217.1,bottomly,DESeq2,edgeR,-0.336245395451647,0.0030806582776092,0.0271831926740025,0.6666666666666666,1,0.0,1.0,0.9964281418088708
ENSMUSG00000033813.15,bottomly,DESeq2,edgeR,-0.604759951762074,0.0002734739050806,0.0037310781733315,1.0,1,0.0,1.0,0.999104672543864
ENSMUSG00000103280.1,bottomly,DESeq2,edgeR,-1.08647121728008,7.2914131337529e-07,1.87327133244837e-05,1.0,1,0.0,1.0,0.9995239813716896
ENSMUSG00000002459.17,bottomly,DESeq2,edgeR,-0.456917052451725,3.71331040721592e-05,0.0006691448901174,1.0,1,0.0,1.0,0.998577099551477
ENSMUSG00000033793.12,bottomly,DESeq2,edgeR,-0.293885197971951,0.0030126733378643,0.0267004365885657,0.6666666666666666,1,0.0,1.0,0.9971361550755272
ENSMUSG00000025905.14,bottomly,DESeq2,edgeR,0.0631827436089401,0.681041484985493,0.868705801178512,0.0,0,0.0,1.0,0.9670876939732947
ENSMUSG00000033774.4,bottomly,DESeq2,edgeR,0.565022328291714,0.0020436830378183,0.0196661164161839,0.6666666666666666,1,0.0,1.0,0.9970098468835388
ENSMUSG00000090031.2,bottomly,DESeq2,edgeR,0.160967348696823,0.350031915028127,0.647449473457094,0.0,0,0.0,1.0,0.9771940678111736
ENSMUSG00000025907.14,bottomly,DESeq2,edgeR,-0.166178584791648,0.3067227936734,0.605154185257644,0.0,0,0.0,1.0,0.9845689195923768
ENSMUSG00000103355.1,bottomly,DESeq2,edgeR,0.21201283486897,0.438060787833544,0.717407234402826,0.0,0,0.0,1.0,0.9815409599422592
ENSMUSG00000103845.1,bottomly,DESeq2,edgeR,0.130680035155955,0.0788265740914032,0.283117129489731,0.0,0,0.0,1.0,0.992162877420907
ENSMUSG00000033740.17,bottomly,DESeq2,edgeR,-0.600576685852882,6.0931176787173e-05,0.0010260190237247,1.0,1,0.0,1.0,0.9991570861473424
ENSMUSG00000103329.2,bottomly,DESeq2,edgeR,0.510180661098938,0.0729568698039812,0.269959746925208,0.0,0,0.0,1.0,0.9874740080081112
ENSMUSG00000102135.1,bottomly,DESeq2,edgeR,0.0586963172260807,0.88311360866122,0.957800001882507,0.0,0,0.0,0.9047619047619048,0.8890137650152086
ENSMUSG00000103509.1,bottomly,DESeq2,edgeR,-0.226569583270989,0.263990617453856,0.562154998220899,0.0,0,0.0,1.0,0.9836753106150437
ENSMUSG00000051285.17,bottomly,DESeq2,edgeR,-0.403869960614817,0.006334400683056,0.0484412966123106,0.6666666666666666,0,0.0,1.0,0.9973380763348284
ENSMUSG00000048538.7,bottomly,DESeq2,edgeR,0.0105317886005197,0.933487533334046,0.976584775348311,0.0,0,0.0,0.8571428571428571,0.8927823890292313
ENSMUSG00000097797.6,bottomly,DESeq2,edgeR,-0.0519422451966473,0.789777545819331,0.918472725222776,0.0,0,0.0,0.8095238095238095,0.8804969840697014
ENSMUSG00000104226.1,bottomly,DESeq2,edgeR,-0.079511226278653,0.844862467032592,0.941521350443341,0.0,0,0.0,0.7619047619047619,0.8455534360983656
ENSMUSG00000086235.1,bottomly,DESeq2,edgeR,0.508048617355988,0.0194877190073852,0.111403075737708,0.0,0,0.0,1.0,0.9936416284305132
ENSMUSG00000103933.1,bottomly,DESeq2,edgeR,-0.448941439880947,0.579410883278654,0.812844416980585,0.0,0,0.0,0.6666666666666666,0.7522709697375882
ENSMUSG00000066693.2,bottomly,DESeq2,edgeR,-0.189847116902772,0.290709116572107,0.588572822443664,0.0,0,0.0,1.0,0.9851128181333884
ENSMUSG00000025909.16,bottomly,DESeq2,edgeR,-0.0860493600760729,0.33510245969489,0.632319656045497,0.0,0,0.0,1.0,0.9778883332474094
ENSMUSG00000061024.8,bottomly,DESeq2,edgeR,-0.348342745924506,0.0001480657550756,0.0022160820536818,1.0,1,0.0,1.0,0.996190991734117
ENSMUSG00000025911.14,bottomly,DESeq2,edgeR,-0.250983980605584,0.0005387503628018,0.0066005511952999,1.0,1,0.0,1.0,0.995416817033562
ENSMUSG00000067879.3,bottomly,DESeq2,edgeR,-0.206657804408984,0.165156248367997,0.437875616351047,0.0,0,0.0,1.0,0.9785396367135812
ENSMUSG00000079671.8,bottomly,DESeq2,edgeR,-0.372962538743694,0.0378431128629412,0.176521712052694,0.0,0,0.0,1.0,0.9917521609870942
ENSMUSG00000025912.16,bottomly,DESeq2,edgeR,-0.171172588272649,0.398404336988818,0.687865207498353,0.0,0,0.0,1.0,0.977612517399598
ENSMUSG00000045210.8,bottomly,DESeq2,edgeR,-0.172679343496486,0.0864920985474085,0.299621500796643,0.0,0,0.0,1.0,0.9920881235929956
ENSMUSG00000097893.8,bottomly,DESeq2,edgeR,-0.150735863719941,0.467277210519628,0.739168415789832,0.0,0,0.0,0.9047619047619048,0.9114210101218402
ENSMUSG00000046334.4,bottomly,DESeq2,edgeR,0.259125970849147,0.174773076677681,0.450902798243081,0.0,0,0.0,1.0,0.9871792888934716
