gene_id,dataset_id,source_method,target_method,source_log_fold_change,source_p_value,source_adjusted_p_value,source_threshold_significance_fraction,target_method_significant,source_significance_stability,source_direction_stability,source_rank_stability
ENSDARG00000000001,zebrafish,DESeq2,edgeR,0.288668169455145,0.790311983773342,0.980531608762697,0.0,0,0.0,0.8333333333333334,0.8037708923658166
ENSDARG00000000002,zebrafish,DESeq2,edgeR,0.478181579250011,0.613115886385967,0.95356991032733,0.0,0,0.0,0.8333333333333334,0.8459303519362654
ENSDARG00000000018,zebrafish,DESeq2,edgeR,1.67536765337859,0.0313358499002794,0.426535231363976,0.0,0,0.0,1.0,0.989404952568683
ENSDARG00000000019,zebrafish,DESeq2,edgeR,1.44246531712658,0.094816669920694,0.628135880341969,0.0,0,0.0,1.0,0.960006775902427
ENSDARG00000000068,zebrafish,DESeq2,edgeR,0.026950948593231,0.978696066485817,0.997461062549624,0.0,0,0.0,0.8333333333333334,0.8340109235760338
ENSDARG00000000069,zebrafish,DESeq2,edgeR,0.511047281727168,0.591519985745694,0.950903196277152,0.0,0,0.0,0.5,0.7191645106977127
ENSDARG00000000086,zebrafish,DESeq2,edgeR,2.66991343475669,0.0048723913112327,0.199141218873997,0.0,0,0.0,1.0,0.9864943944807196
ENSDARG00000000103,zebrafish,DESeq2,edgeR,1.59450737777273,0.105459984776659,0.648366725887326,0.0,0,0.0,0.8333333333333334,0.8397550408607449
ENSDARG00000000142,zebrafish,DESeq2,edgeR,0.786675503247057,0.34062226369566,0.868756915192595,0.0,0,0.0,0.8333333333333334,0.8501139583589996
ENSDARG00000000151,zebrafish,DESeq2,edgeR,-0.159736337562269,0.874511184921838,0.990205751611913,0.0,0,0.0,1.0,0.9158504784197774
ENSDARG00000000161,zebrafish,DESeq2,edgeR,0.302555766930474,0.695716765499396,0.964858214055868,0.0,0,0.0,1.0,0.938893679931009
ENSDARG00000000175,zebrafish,DESeq2,edgeR,-1.03223967840324,0.408940858836418,0.898498077897641,0.0,0,0.0,0.6666666666666666,0.7360324011334236
ENSDARG00000000183,zebrafish,DESeq2,edgeR,-0.248076737633377,0.757550879875296,0.976815101725412,0.0,0,0.0,1.0,0.96092049607819
ENSDARG00000000189,zebrafish,DESeq2,edgeR,0.135978266894905,0.882418704341756,0.990205751611913,0.0,0,0.0,0.8333333333333334,0.8567307297441584
ENSDARG00000000229,zebrafish,DESeq2,edgeR,-0.787880170824396,0.409373554065911,0.898498077897641,0.0,0,0.0,1.0,0.9500687856761528
ENSDARG00000000241,zebrafish,DESeq2,edgeR,-0.090350218798058,0.908325654421435,0.992954572082164,0.0,0,0.0,1.0,0.9305367336043694
ENSDARG00000000324,zebrafish,DESeq2,edgeR,-0.311685501879401,0.70967099670893,0.96688358604638,0.0,0,0.0,1.0,0.9287554925875734
ENSDARG00000000369,zebrafish,DESeq2,edgeR,-0.718801865764887,0.591323068471018,0.950895728490526,0.0,0,0.0,0.8333333333333334,0.8695279454642519
ENSDARG00000000370,zebrafish,DESeq2,edgeR,0.554940514868108,0.54923906395063,0.940624524720509,0.0,0,0.0,0.6666666666666666,0.733352839719108
ENSDARG00000000380,zebrafish,DESeq2,edgeR,0.0888336119640159,0.947127071296644,0.996078625621968,0.0,0,0.0,0.6666666666666666,0.7255400188903947
ENSDARG00000000384,zebrafish,DESeq2,edgeR,0.834128084731845,0.390616224301262,0.89017559805249,0.0,0,0.0,0.5,0.7793160445156256
ENSDARG00000000394,zebrafish,DESeq2,edgeR,-0.42903610589738,0.625022793020442,0.953998436683167,0.0,0,0.0,1.0,0.9120262001560512
ENSDARG00000000442,zebrafish,DESeq2,edgeR,-0.964649433860332,0.307464279610581,0.846957881751152,0.0,0,0.0,1.0,0.923576033838446
ENSDARG00000000472,zebrafish,DESeq2,edgeR,-0.429810923401214,0.636543839517588,0.955847798803888,0.0,0,0.0,1.0,0.9176573857336454
